"query_date","query_route_no","query_route_id","승차정류장ID","승차정류장명","승차정류장순서","승차위도","승차경도","하차정류장ID","하차정류장명","하차정류장순서","하차위도","하차경도","opr_ymd","ride_ctpv_cd","goff_ctpv_cd","clcln_bzmn_id","vr_card_no","card_se_cd","clcln_bzmn_trfc_mns_cd","rte_id","ride_dt","ride_sttn_id","goff_dt","goff_sttn_id","trnf_cnt","users_type_cd","utztn_nope","utztn_dstnc","brdg_hr","msv_intrpl_yn","GTX_A_역","대상지역"
"20251016","7111","41084008","4114534","산내마을8.12단지(중)","3","37.72975","126.7413167","4179486","이대후문(중)","21","37.5627167","126.9433333","20251016","41","11","08","41_19246323","2","533","41084008","20251016065721","4114534","20251016072011","4179486","0","01","3","37010","1370","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4105064","해솔마을6.7단지","6","37.7221","126.7487833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_2288419","1","533","41084008","20251016081617","4105064","20251016084044","4111612","0","01","3","39400","1467","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4115749","지산중학교.운정행복센터","5","37.7259","126.7512167","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_24337922","1","533","41084008","20251016070021","4115749","20251016080016","4111612","0","01","3","39880","3595","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104713","두레공원(중)","4","37.7294333","126.7477","4111614","신한은행본점","26","37.5611167","126.9755167","20251016","41","11","08","41_24736620","1","533","41084008","20251016181601","4104713","20251016185606","4111614","0","01","4","41630","2405","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4105064","해솔마을6.7단지","6","37.7221","126.7487833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_25398752","2","533","41084008","20251016093015","4105064","20251016100327","4111612","0","01","1","39400","1992","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4105064","해솔마을6.7단지","6","37.7221","126.7487833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_4989486","2","533","41084008","20251016162409","4105064","20251016165558","4111612","0","01","1","39400","1909","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4115749","지산중학교.운정행복센터","5","37.7259","126.7512167","4151598","연세대앞(중)","20","37.5599667","126.9353333","20251016","41","11","08","41_5943299","2","533","41084008","20251016070018","4115749","20251016073421","4151598","0","01","4","34800","2043","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4105064","해솔마을6.7단지","6","37.7221","126.7487833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_6342613","2","533","41084008","20251016062431","4105064","20251016070647","4111612","0","01","2","39400","2536","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4151586","디지털미디어시티역(중)","18","37.5790667","126.90055","20251016","41","11","08","41_6666600","2","533","41084008","20251016213031","4104784","20251016220051","4151586","0","01","4","29230","1820","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4151598","연세대앞(중)","20","37.5599667","126.9353333","20251016","41","11","08","41_6705353","1","533","41084008","20251016202119","4104784","20251016213304","4151598","0","01","4","33100","4305","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4151598","연세대앞(중)","20","37.5599667","126.9353333","20251016","41","11","08","41_6722689","2","533","41084008","20251016080356","4104784","20251016085717","4151598","0","01","3","33100","3201","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4105064","해솔마을6.7단지","6","37.7221","126.7487833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_6739973","2","533","41084008","20251016070158","4105064","20251016074156","4111612","0","01","3","39400","2398","N","운정중앙역","운정·파주"
